Count of Position ,Column Labels,,,
Countires,Diverse,Female,Male,Grand Total
EU,5,199,1042,1246
USA,,327,422,749
Grand Total,5,526,1464,1995
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Count of Position ,Column Labels,,,
Countires,EU,USA,Grand Total,
Temporary contract,86,388,474,
Unlimited contract,1160,361,1521,
Grand Total,1246,749,1995,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Count of Position ,Column Labels,,,
Position,EU,USA,Grand Total,
Junior,92,404,496,
Middle,373,76,449,
Senior,774,269,1043,
VP,7,,7,
Grand Total,1246,749,1995,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Count of Position ,Column Labels,,,
Techonolygy,EU,USA,Grand Total,
.NET,26,,26,
Angular,101,1,102,
AWS,44,17,61,
C++,102,,102,
Excel,,172,172,
iOS,58,,58,
Java,327,2,329,
NodeJS,48,1,49,
Power BI,50,27,77,
Python,356,393,749,
R,9,136,145,
SQL,31,,31,
Typescript,94,,94,
Grand Total,1246,749,1995,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Count of Position ,Column Labels,,,
Size,EU,USA,Grand Total,
1000 - 5000,447,151,598,
10000+ ,,130,130,
101-1000,402,3,405,
20 - 50,78,10,88,
201 - 500 ,,117,117,
50 - 60,173,1,174,
5001 - 10000 ,,76,76,
501 - 1000 ,,134,134,
51 - 200 ,,94,94,
51-100,146,33,179,
Grand Total,1246,749,1995,
